YORF	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YIR012W	-0.07	-0.54	-0.79	-0.45	-0.32	-0.22	-0.14	 0.01	 0.15	-0.27	-0.03	-0.17	 0.10	-0.25	-0.03	 0.03	-0.40	 0.10	 1.13	 0.94	 0.49	 0.29	-0.03	 0.21	-0.04	 0.16	 0.18	-0.17	 0.24	 0.03	 0.11	-0.76	 0.07	-0.12	-0.20	 0.04	 0.30	 0.15	 0.03	-0.20	-0.23	-0.42	-0.25	-1.15	-0.15	-0.14	 0.21	 0.52	 0.50	 0.19	 0.06	-0.09	 0.07	-0.32	-0.49	-0.49	-0.20	-0.62	-0.09	-0.36	-0.17	-1.29	-1.03	-0.29	-0.84	-0.74	-1.00	-0.71	-0.56	-0.43	-1.94	-1.03	-0.18	 0.31	 0.44	 0.51	-0.64	-0.64	-0.86	-1.43
YHR033W	-0.67	-0.36	-0.23	-0.15	-0.40	-0.36	-0.69	-0.40	-0.30	 0.12	-0.27	-0.60	-0.22	-0.47	-0.32	-0.22	-0.47	-0.36	 0.45	 0.49	 0.39	 0.70	 0.41	 0.94	 0.40	 0.82	 0.67	 0.45	 0.90	 0.11	 0.54	-0.04	 0.56	 0.42	 0.50	 0.81	 1.12	-0.40	 1.04	 0.65	 0.29	 0.48	 0.46	-0.71	 1.65	-0.07	 0.90	 0.46	 0.48	 0.12	 0.70	 0.03	 0.06	-0.12	-0.04	 0.03	 0.34	 0.12	 1.58	 0.37	-0.06	-0.64	-0.43		-0.45	 0.10	-0.60	 0.42	 0.40	 0.67	 0.29	-0.60	 0.33	-0.15	-0.27		-0.49	-0.54	 0.58	 0.53
YKL090W	-0.09	 0.28	 0.19	 0.24	-0.45	-0.29	-0.25	-0.06	-0.14	 0.06	-0.27	 0.00	-0.22	-0.58	-0.49	-0.06	-0.17	 0.07	-0.06	 0.14	-0.56	-0.17	 0.12	-0.74	 0.52	-0.10	 0.56	 0.46	-0.12	 0.00	 0.52	 0.00	-0.56	-0.47	 0.70	-1.36	 0.69	-0.40	 0.76		-0.89	 0.11	-0.67	-0.43	-0.27	 0.00	 0.25	 0.10	-0.12	-0.14	-0.12	-0.49	-0.43	-0.18	-0.29	-0.34	-0.23	 0.28	 1.29	-1.06	-0.34	 0.42	-0.15	-0.45	-0.76	-0.32	-0.47	-0.04	-0.58	-0.45	-0.10	 0.18	 0.30	-0.09	 0.18	 0.60	-0.09	-0.51	 0.70	 0.41
YHR106W	-0.03	-0.36	-0.01		-0.01	-0.25	 0.06	-0.27	-0.29	-0.34	-0.17	-0.12	 0.18	-0.03	 0.21	-0.04	-0.10	-0.40	 0.07	 0.20	 0.21	-0.07	-0.23	-1.36	-0.40	-0.14	-0.40	-0.04	 0.12	-0.15	 1.23	 0.07	-0.54	 0.11	 0.20	 0.01	 0.06	-0.14	 0.28	 0.11	 0.24	 0.20	 0.21	-0.14	-0.09	-0.18	-0.30	-0.15	-0.04	-0.12	 0.04	 0.18	-0.06	-0.18	 0.15	 0.20	 0.04	 0.23	 0.31	-0.29	-0.38	 0.58	-0.29	-0.97	-1.22	-0.84	-0.81	 0.45	-0.54	-0.04	 0.16	-0.07	 0.32	 0.18	 0.11	 0.10	-0.18	-0.18	 0.37	-0.22
YKL163W	-0.36	 0.67	 0.11	-0.60	-1.40	-2.25	-2.06	-2.06	-1.15	 0.49	 1.64	 0.89	 0.38	-0.51	-0.67	-1.12	-1.32	-0.49	 2.28	 1.75	-1.09	-1.25	-1.47	-1.22	-1.25	 0.50	 1.78	 0.65	 2.07	 1.74	 1.20	 0.90	 1.01	 0.08	-0.60	-0.34	 0.07	 0.15	 1.14	 1.82	 1.45	 1.64	 1.53	-0.04	-0.62	-0.56	-0.47	-0.60	-0.54	-0.64	-0.51	-0.14	 0.06	-0.09	 1.01	 1.21	 0.94	-2.12		-0.74	 0.07	-0.30	-1.15	-0.89	-1.74	-1.56	-1.74	-0.25	-0.79	-0.67	-0.58	 0.15	-0.62	 0.39	 0.46	 0.61	-0.03	 0.12	 1.32	 1.24
YGR054W	 0.16	-0.27	 0.03	-0.17	 0.00	-0.18	 0.40	 0.20	 0.10	-0.07	-0.04	 0.14	 0.21	 0.01	 0.14	-0.06	 0.11	 0.04	 0.61	 0.15	-0.18	-0.03	-0.09	 0.07	-0.25	 0.07	-0.06	-0.09	 0.31	-0.29	 0.00	-0.25	-0.07	-0.14	-0.67	 0.19	-0.01	-0.03	-0.09	-0.47	-0.06	-0.17	-0.32	-0.62	-0.18	-0.14	 0.31	 0.25	 0.00	 0.19	 0.03	 0.01	-0.03	 0.01	 0.00	-0.17	-0.17	-0.58	-0.64	-0.22	-0.45	-0.76	-0.60	-0.43	-1.12	-1.22	-0.69	-0.49	-0.64	 0.46	-1.56	-1.79	 0.18	 0.00	 0.19	 0.32	-0.84	-0.81	 0.10	-0.40
YGR127W	 0.14	 0.26	 0.20	 0.14	-0.07	-0.10	-0.01	-0.06	-0.17	-0.25	-0.30	-0.10	-0.01	-0.60	-0.29	-0.27	 0.20	-0.18	-0.12	 0.03	 0.06	-0.23	-0.36	-0.07	 0.04	-0.18	-0.60	-0.32	-0.67	-0.43	-0.30	-0.94	-0.40	-0.97	-0.03	-0.14	 0.31	-0.20	-0.32	 0.14	 0.01	-0.10	-0.04	 0.51	-0.06	-0.09	-0.25	 0.00	-0.07	-0.71	-0.32	-0.40	-0.47	-0.01	 0.03	-0.03	 0.08	-0.23	-0.29	 0.12	-0.32	 1.60	 0.31	-0.22	-0.54	-0.89	-0.94	 0.88	-0.69	-1.06	 0.80	 0.86	-0.22	-0.23	-0.42	-0.10	-0.25	-0.32	 1.05	 0.41
YJL184W	-0.54	-0.27	-0.76	 0.00	-0.45	 0.19	-0.18	-0.12	-0.09	 0.14	-0.27	-0.22	-0.14	-0.27	-0.47	-0.06	-0.10	-0.12	-0.27	 0.10	 0.04	 0.23	 0.20	-0.20	 0.63	-0.17	 0.07	 0.30	 0.21	 0.26	 0.43	 0.29	-0.10	 1.29	 0.74	 0.03	-0.25	 0.20	 0.36	 0.63	 0.03	-0.25	 0.61	-0.06	 0.11	 0.30	-0.04	 0.30	 0.19	 0.18	 0.19	-0.14	-0.23	 0.24	-0.15	-0.34	 0.08	 0.03	 0.42	-0.40	-0.29	 0.10	 0.72	 0.52	 0.41	-0.12	 0.26	 0.04	-0.12	-0.38	 0.46	-0.09	-0.34	-0.10	 0.29	 0.03	-0.23	-0.25	 0.48	-0.29
YOR111W	-0.04	-0.14	 0.66	 0.53	 0.43	-0.18	 0.10	-0.07	-0.03	 0.01	 0.12	 0.08	 0.04	-0.32	-0.01	-0.22	-0.07	 0.18	-0.47	-0.10	 0.19	-0.29	 0.07	-0.43	-0.07	-0.36	 0.04	 0.12	 0.03	 0.20	-0.14	-0.01	-1.12	 0.04	-0.10	-0.94	 0.60	-1.03	 0.16	 0.97	-0.58	-0.20	-0.34	 0.60	-0.22	 0.21	 0.10	 0.21	-0.45	-0.07	-0.15	-0.14	-0.27	-0.06	-0.29	-0.22	-0.22	 0.10	 0.77	-0.22	-0.42	 0.26	 0.01	-0.56	-0.27	-0.47	-0.29	 0.37	-0.01	-0.04	-0.04	-0.86	 0.26	-0.23	-0.30	 0.23	-0.30	 0.04	 0.70	 0.57
YGL023C	 0.06	-0.10	 0.33	 0.10	 0.44	 0.21	 0.39	 0.01	 0.12	 0.15	 0.34	 0.21	 0.24	 0.14	 0.37	 0.19	 0.33	 0.10	-0.38	-0.94	-0.25	-0.12	-0.30	-0.07	-0.51	-0.22	-0.62	-0.58	-0.01	-0.60	-0.23	-0.43	-0.49	-0.25	-1.40	-0.32	-0.81	-0.32	-0.25	-0.51	-0.23	-0.42	-0.25	-0.25	 0.11	-0.25	-0.20	 0.06	-0.27	 0.04	-0.14	 0.01	-0.25	-0.27	 0.10	-0.22	-0.03	 0.58	 0.58	 0.29	-0.10	 1.06	 0.14	-0.47	-0.76	-0.69	-0.86	 0.21	-0.30	 0.18	 0.45	-0.27	 0.16	-0.51	-0.62	 0.21	-0.42	-0.58	 0.51	 0.33
YER096W	-0.04	-0.12	-0.03	 0.01	-0.06	 0.15	-0.32	 0.01	 0.19	-0.29	 0.24	 0.03	 0.04	-0.04	-0.04	 0.29	-0.23	-0.03	 1.19	 1.23	 1.35	 0.24	 0.14	-0.18	 1.18	 0.10	 0.23	 0.20	 0.12	-0.67	 0.07	 0.24	-0.23	 0.30	 0.64	 0.00	-0.03	-0.22	 0.49	 0.42	-0.01	 0.03	-0.06	-0.03	 0.26	 0.49	 0.58	 0.10	 0.07	 0.10	-0.20	-0.20	-0.06	-0.14	-0.47	-0.10	 0.10	-0.89		-0.06	-0.01	 0.86	 1.28	 1.41	 1.46	 2.53	 3.14	-0.58	 0.04	 0.88	 2.02	 2.43	 1.90	-0.09	 0.15	 0.54	 0.16	-0.58	 0.52	 1.80
YFL044C	-0.23	 0.20	 0.16	 0.24	-0.20	 0.16	-0.42	-0.23	 0.12	 0.25	 0.14	 0.03	-0.14	-0.43	-0.58	-0.18	-0.17	-0.06	-0.23	-0.30	-0.71	-0.97	-0.17	-0.81	 0.12	-0.51	-0.15	 0.70	-0.29	 0.06	-0.10	-0.15	-0.56	-0.58	-0.14	-0.67	 0.18	-0.42	 0.46	 0.31	-0.34	-0.34	-0.10	 1.02	 0.66	 0.20	 0.21	-0.04	-0.03	-0.09	-0.07	 0.00	 0.08	 0.11	-0.25	 0.14	 0.18	-0.47	-0.15	-0.22	 0.04		 0.34	 0.46	 0.03	-0.36	-0.10	 0.00	-0.76	-1.03	 0.62	 1.15	 0.01	-0.34	-0.45	 0.18	-0.40	-0.62	 0.77	 0.21
YER169W	-0.03	-0.10	-0.45	-0.42	-0.43	-0.30	-0.47	-0.22	-0.09	 0.23	 0.12	-0.01	 0.00	-0.62	-0.47	-0.01	-0.56	-0.07	 0.15	 0.21	 0.03	-0.06	 0.66	-0.60	 0.89	 0.18	 0.49	 0.51	-0.38	 0.63	 0.77	 0.18	-1.00	 0.14	 0.69	-0.06	 0.50	 0.08	 0.45	 0.91	-0.51	-0.49	-0.54	 0.08	 0.37	-0.27	 0.33	 0.10	 0.04	 0.01	-0.06	-0.04	 0.19	-0.22	 0.10	 0.03	 0.61	 1.21	 0.92	-0.29	 0.08	-0.23	-0.49	-0.25	-0.74	-0.56	-0.54	-0.23	-0.54	-0.18	-0.43	-0.71	-0.22	-0.03	 0.11	-0.60	-0.49	-0.62	-0.22	-0.30
YBR008C	-0.22	-0.43	-0.34	 0.30	 0.16	-0.17	 0.04	 0.08	-0.38	-0.07	-1.06	 0.03	-0.10	-0.07	 0.20	-0.38	-0.14	-0.15	-0.94	-0.74	-0.04	 0.03	 0.03	-0.29	-0.71	-0.97	-0.92	-1.06	-0.92	-0.67	-0.23	-0.06	-0.17	-0.07	 0.04	 0.03	 0.16	-0.43	-0.40	-0.92	-0.84	-0.81	-0.54	-0.51	-0.67	-0.43	-0.62	-0.51	-0.32	-0.64	-0.40	-0.04	-0.07	-0.47	-0.22	-0.60	-0.34	-0.86	 1.65	 0.14	-0.34	-0.40	-0.29	-1.12	-0.71	-0.84	-1.25	 0.10	-0.34	-0.40	 0.53	-0.29	-0.30	-0.25	-0.14	 0.55	-0.29	-0.32	 0.37	-0.04
YMR153W	-0.60	-0.58	-0.89	-0.84	-0.38	-0.12	-0.10	-0.36	-0.25	-0.15	-0.29	-0.10	-0.20	-0.36	-0.25	-0.25	-0.14	-0.30	-0.51	-0.01	-0.03	-0.22	-0.43	-0.67	-0.20	-0.76	-0.38	-0.20	-0.47	-0.45	 0.49	-0.43	-0.74	 0.70	-0.71	-0.49	-0.12	-0.17	 0.03	 0.19	-0.45	-0.60	-0.64	 0.15	-0.22	 0.14	-0.06	 0.24	 0.01	-0.12	 0.12	-0.04	 0.25	 0.19	-0.12	-0.29	 0.15	-0.15	 0.08	-0.49	 0.21	-0.14	-0.49	-0.10	 0.12	 0.11	 0.42	-0.23	 0.16	 0.20			 0.53	-0.23	-0.32	 0.58	-0.01	-0.20	 0.45	-0.12
YLR174W	-0.36	 0.04	-0.09	-0.17	-0.01	 0.10	-0.23	-0.34	-0.15	 0.41	-0.32	 0.08	-0.34	-0.45	-0.29	 0.04	-0.04	-0.30	 0.00	-0.04	-0.38	 0.86	 0.11	-2.12	 0.48	-0.07	 0.31	 0.58	-0.07	 0.16	 0.07	 0.20	-0.17	 0.15	 0.82	 0.01	 0.33	-0.51	 0.32	 0.92	 0.06	 0.03	 0.16	-0.42	 1.13	 0.04	 0.19	-0.62	-0.36	-0.25	 0.77	 0.70	 0.58	-0.14	 0.63	 0.95	 0.58	-0.79	-0.58	 0.40	 0.16	 1.22	 1.40	 0.11	-0.64	-0.76	-0.20	 1.84	-1.00	-0.79	-0.15	-1.89	-0.12	-0.12	-0.29	 0.72	 0.12	-0.14	 1.30	 3.27
YML122C	-0.74	-0.32	-0.34	-0.56	-0.30	 0.08	-0.09	-0.30	-0.22	 0.08	-0.34	 0.16	-0.27	-0.34	-0.71	-0.32	-0.22	-0.22																										-0.71	 0.26	 0.90	 0.04	 0.24	 0.24	 0.01	-0.14	-0.30	-0.12	-0.09	-0.40	-0.62	-0.03	-0.54	 0.82	-0.84	-0.30	-0.07	-0.22	-0.51	-0.56	 0.04	-0.58	-0.15	 0.07	 0.15	-0.14	-0.25	-0.40	-0.20	-0.43	 0.04	-0.10	-0.04	 0.26	-0.14
YIR013C	-0.49	-0.42	-0.27	-0.23	-0.27	-0.18	-0.23	-0.25	-0.03	-0.51	-0.97	-0.09	-0.01	-0.22	-0.42	-0.34	-0.51	-0.29	-0.62	-0.01	-0.45	-0.71	-0.29	-0.81	 0.32	-0.81	-0.04	 0.33	-0.56	-0.34	 1.10	 0.43	-0.86	 1.15	 0.43	-0.97	-0.03	-0.60	 0.52	 1.20	-0.81	-0.94	-0.97	 0.01	-0.62	 0.24	-0.74	-0.40	-0.42	-0.54	-0.92	-0.89	-1.18	-0.97	-1.29	-0.97	-0.49	-0.62	 0.68	-0.23	-0.20	-0.22	-0.56	 1.12	 4.05	 2.28	 4.42	-2.56	 3.22	 3.22	-0.45	-0.18	 1.96	-0.43	-0.62	-0.42	-0.38	-0.62	 0.19	-0.40
YHR034C	-0.23		 0.00	-0.20	-0.18	-0.03	-0.20	-0.18	-0.06	 0.03	-0.01	-0.29	-0.06	-0.38	 0.04	 0.16	-0.45	 0.10	-0.71	 0.08	-0.09	-0.15	-0.07	-0.25	 0.14	-0.06	 0.20	-0.10	 0.10	-0.09	-0.18	-0.09	-0.97	-0.22	-0.10	-0.34	-0.30	-0.54	-0.10	 0.08	-0.20	-0.27	-0.34	-0.58	 0.00	 0.16	 0.24	-0.10	-0.51	-0.32	-0.22	-0.51	-0.38	-0.36	-0.54	-0.76	-0.43	-0.56	 0.19	 0.03	-0.04	-0.58	 0.07	 0.03	 0.06	-0.01	 0.06	-0.34	-0.09	-0.18	 0.12	 0.00	 0.16	-0.14	-0.12	 0.40	-0.22	-0.29	 0.42	 0.32
YKL091C	-0.34	 0.68	 0.39	 0.11	-0.38	 0.06	-0.42	-0.29	-0.36	 0.04	-0.49	-0.09	-0.20	-1.09	-0.43	-0.47	-0.04	-0.18	-0.67	-0.45	-0.29	 0.54	 0.49	 0.40	 0.61	 0.18	 0.50	 0.50	 0.30	-0.06	 0.19	 0.20	 0.23	 0.76	 0.90	 0.26	 1.78	 0.28	 0.44	 0.68	 0.84	 0.82	 0.99	 1.18	 0.32	 0.32	-0.14	-0.58	-0.49	-0.56	-0.15	 0.03	-0.34	-0.04	 0.37	 0.19	 0.30	-0.29	-0.58	-0.38	 0.01	 0.66	 0.07	-0.81	-1.25	-0.86	-0.74	 0.75	-0.40	-0.12	 0.61	-0.14	 0.14	-0.30	-0.51	 0.01	 0.70	 0.20	 1.74	 0.90
YHR107C	-0.17	-0.60	-0.47	-0.34	 0.28	-0.12	 0.37	-0.15	 0.00	-0.14	-0.36	-0.30	-0.10	-0.29	-0.06	-0.14	 0.15	-0.27	-0.27	 0.00	-0.34	-0.47	 0.46	-0.86	 0.70	-0.43	 0.18	 0.28	-0.64	-0.47	 0.84	 0.08	-0.49	-0.25	 0.70	-0.89	 0.76	-0.54	 0.58		-1.64	-0.17	-1.32	-0.97	-0.67	-0.56	-0.67	-0.04	-0.29	-0.42	 0.57	 0.21	 0.31	-0.22	 0.40	 0.12	 0.24	-0.12	 0.36	-0.23	-0.38	-0.14	 0.10	 0.04	-0.29	-0.97	-0.97	 0.32	-0.62	-1.51	 0.56	 0.39	-0.25	-0.03	-0.12	-0.01	-0.22	-0.12	-0.22	-0.84
YKL164C	-1.40	-0.09	-0.97	-1.40	-2.64	-2.12	-3.18	-2.47	-1.94	 0.65	 1.59	 1.09	 0.41	-0.79	-0.84	-1.47	-0.92	-0.43	 1.91	 2.11	-1.60	-2.06	-2.47	-2.12	-2.06	 0.10	 1.56	 0.10	 2.23	 2.00	 0.87	 0.12	 0.72	-0.69	-1.64	-2.12	-2.25	-0.89	 0.10	 1.86	 1.20	 0.44	-0.23	 0.15	-0.43	 1.09	-0.74	-0.25	-0.15	-0.38	-0.18	-0.12	 0.28	 0.46	 1.32	 1.83	 1.23	-2.47	-1.79	-0.89	 0.12	-0.47	-1.51	-2.06	-2.64	-2.25	-2.56	 0.60	-0.84	-0.92	-1.64	-2.64	-0.54	 0.31	 0.20	 0.28	 0.04	-0.12	 0.29	-0.25
YGR128C	 0.23	-0.94	-0.25		 0.18	-0.42	 0.20	-0.14	 0.26	 0.00	 0.30	-0.34	-0.06	-0.32	-0.10	-0.14	 0.24	-0.29	 1.16	 0.93	 0.58	 0.18	-0.54	 0.42	 0.03	 0.30	-0.58	-0.29	 0.21	-0.67	 0.04	-0.64	-0.64	-0.23	-0.76	 0.29	-0.58	 0.21	-0.94	-1.03	-0.14	-0.38	-0.32	-1.15	-0.45	-0.22	-0.04	 0.40	-0.03	-0.17	-0.81	-0.36	-0.23	-0.42	-0.79	-0.49	-0.64	-0.47	 0.53	-0.34	-0.34	-2.74	-1.06	-1.15	-1.74	-1.03	-0.89	-0.92	-1.25	 0.28	-2.74	-2.32	-1.06	 0.30	 0.26	 0.37	-0.81	-0.76	-0.89	-1.47
YJL185C	-0.32	-0.14	-0.04	 0.06	 0.20	 0.03	-0.03	-0.04	-0.18	-0.40	-0.36	-0.51	-0.25	-0.36	-0.12	-0.25	-0.38	-0.22	 0.01	 0.39	 0.24	-0.01	 0.20	 0.03	-0.03	 0.23	 0.28	 0.00	 0.04	 0.19	 0.04	 0.19	-0.29	-0.03	 0.51	 0.06	 0.34	 0.15	 0.51	 1.03	-0.09	-0.17	 0.03	 0.26	-0.07	 0.12	-0.10	-0.40	-0.38	-0.30	-0.07	-0.15	-0.38	-0.27	-0.38	-0.18	-0.14	 0.32	 0.37	-0.51	-0.30	 0.16	 0.06	 0.07	-0.22	-0.45	 0.18	 0.10	-0.47	-0.34	 0.33	-0.18	 0.00	-0.17	-0.07	 0.18	 0.15	-0.17	 0.71	 1.45
YDR474C	-0.71	-0.32	-0.54	-0.54	-0.89	-0.03	-0.69	-0.09	-0.40	 0.08	-0.23	-0.23	-0.38	-0.67	-0.74	-0.14	-0.56	-0.12	-0.17	-0.06	-0.10	-0.23	-0.10	-0.47	 0.26	-0.43	 0.44	 0.55	-0.42	 0.19	 0.04	-0.04	-0.29	 0.39	 0.38	 0.01	 0.16	-0.06	 0.06	 0.86	-0.23	 0.07	-0.17	 0.62	 0.39	 0.04	-0.86	-0.32	-0.07	-0.14	 0.11	 0.16	 0.16	 0.11	 0.42	 0.28	 0.46	 0.66	-0.01	-0.17	 0.19	 0.01	-0.51	-0.81	-0.92	-0.94	-0.92	 0.08	 0.03	-0.20	-0.22	-0.42	-0.36	-0.12	-0.22	 0.21	 0.06	-0.42	 0.48	 0.10
YMR081C	 0.16	 0.01	 0.07	-0.36	 0.15	 0.25	 0.08	-0.06	-0.10	-0.30	-0.42	-0.42	-0.15	-0.42	-0.22	-0.32	-0.03	-0.09	 0.07	 0.60	 0.40	 0.33	 0.66	 0.90	 0.30	 1.01	 0.45	 0.37	 1.43	 0.58	 0.69	 1.23	-0.12	 0.37	 1.06	 0.64	 0.33	 0.45	 0.88	 1.24	 1.30	 0.90	 0.96	 1.89	-0.89	-0.64	-1.22	-1.09	-1.32	-0.58	-0.60	-0.92	-1.36	-0.86	-0.25	-0.67	-0.92	 0.28	 0.44	 0.29	-0.43	-1.36	 1.05	 1.35	-0.27	-1.00	-1.12	-0.22	-1.84	-2.47	 1.24	-1.89	 0.54	 0.03	-0.07	 0.73	 0.21	 0.74	 2.07	 2.24
YMR154C	-0.10	 0.12	-0.12	-0.27	-0.03	-0.42	-0.23	-0.27	-0.12	-0.18	-0.18	-0.27	-0.22	-0.22	-0.07	-0.32	-0.76	-0.20	-0.23	 0.23	-0.56	-0.14	-0.81	-0.62	 0.04	 0.20	 0.37	 0.30	-0.18	-0.86	 0.86	 0.25	-0.89	 0.19	 0.67	-0.71	-0.06	-0.51	 0.80	 1.89	-1.18	-0.56	-0.64	-0.07	-0.42	-0.36	-0.17	-0.47	-0.47	-0.23	-0.49	-0.34	-0.17	-0.54	-0.10	-1.00	-0.34	 0.20	 0.69	-0.20	-0.30	-0.04	-0.27	 0.01	 0.26	 0.24	 0.39	-0.23	-0.10	-0.29	-0.17	 0.00	 0.25	-0.10	 0.21	 0.26	-0.45	-0.47	 0.48	 0.31
YHL002W	 0.26	-0.01	 0.12	-0.07	-0.22	-0.20	-0.23	 0.01	 0.04	-0.29	 0.12	-0.09	-0.20	-0.14	 0.00	 0.15	-0.40	-0.09	-0.09	-0.15	-0.04	-0.09	-0.03	-0.42	-0.12	-0.30	-0.38	 0.03	-0.34	-0.49	-0.34	-0.40	-0.76	-0.03	 0.03	-0.34	-1.06	-0.47	-0.43	-0.30	 0.19	-0.12	 0.04	 0.45	-0.17	 0.03	 0.19	-0.22	-0.15	-0.14	-0.14	-0.32	-0.29	-0.40	-0.20	-0.29	-0.18	 0.01	 0.97	 0.37	-0.14	-0.51	-0.20	-0.22	-0.67	-1.09	-0.94	-0.20	-0.49	-0.86	 0.00	 0.70	-0.47	-0.01	 0.14	 0.37	-0.25	 0.10	 0.82	 0.43
YMR227C	 0.19	 0.28	 0.03	 0.52	 0.12	 0.18	 0.14	 0.50	 0.19	-0.04	 0.07	 0.10	 0.06	-0.01	 0.08	 0.29	 0.29	-0.06	-0.36	 0.70	-0.20	-0.17	 0.83	-0.43	 0.49	-0.25	-0.22	 0.21	 0.52	-0.10	 1.71	-0.12	-0.76	 0.03	 0.82	-0.86	 0.39	-0.56	 1.32		-0.92	-0.23	-0.30	 0.14	-0.18	 0.10	 0.03	 0.01	-0.07	-0.09	 0.03	-0.23	-0.14	-0.12	-0.12	-0.06	-0.15	-0.14		 0.16	-0.10	-0.51	 0.16	 0.45	 0.21	-0.30	-0.09	-0.58	-0.15	-0.20	 0.11	 0.30	 0.01	-0.09	-0.34	 0.32	-0.45	-0.54	 0.31	-0.14
YNL101W	-0.15	 0.33	-0.45	-0.12	 0.19	-0.03	 0.20	-0.25	 0.14	 0.10	-0.29	 0.00	-0.15	-0.25	-0.25	-0.14		-0.07	-0.12	-0.07	-0.22	 0.10	 0.37	 0.26	 0.75	 0.04	 0.76	 0.60	-0.06	 0.30	 0.08	 0.50	-0.07	-0.10	 1.00	-0.18	 0.58	-0.23	 1.19	 0.95	-0.54	-0.62	-0.60	-0.29	 0.08	 0.14	-0.12	-0.15	-0.27	-0.04	 0.24	-0.09	 0.18	 0.14	 0.07	-0.06	 0.14	 0.64	 0.79	-0.38	-0.01	 0.77	 0.26	-0.30	-0.84	-0.54	-0.62	 0.20	-0.84	-0.76	 0.58	-0.27	-1.32	 0.15	 0.11	 0.34	-0.34	-0.14	-0.12	-0.14
YEL065W	 0.33	 0.14	 1.26	 1.19	 1.28	 1.13	 1.72	 1.77	 2.19	 1.88	 1.93	 1.46	 1.37	 1.18	 1.79	 1.63	 2.08	 1.53	-0.40	-0.10	-0.38	-0.10	 0.64	 0.82	 1.84	 1.44	 1.63	 0.64	 0.46	 0.64	 0.06	 0.57	-0.86	-0.20	 0.99	 0.94	 1.68	 0.85	 1.64	 1.10	-0.86	-0.56	-0.14	-0.23	 1.38	-0.30	-0.79	-0.86	-0.74	-0.74	-0.60	-0.42	-0.10	 0.08	 0.18	-0.49	 0.21	 0.37	 1.45	 0.28	-0.14	-1.00	-0.74	-1.89	-2.40	-2.00	-1.89	 0.98	-0.94	-0.20	-1.56	-3.64	-0.89	 0.28	-0.34	-0.38	-1.18	-1.15	-0.15	 0.26
